Sequence id 	Synonyms	Description 	EC number 	WT expr 1	WT expr 2	CLA50 expr 1	CLA50 expr 2	Fold change	q-value	"significant +, q <0.0005"
SCLAV0033 		transcriptional regulator 		491	480	393	429	0.847	8.76E-04	no
SCLAV0035 		Hypothetical protein		33	41	120	124	3.319	4.90E-04	yes
SCLAV0037 		"Phage tail sheath protein, putative "		72	73	86	116	1.408	1.09E-01	no
SCLAV0038 		phage tail region protein		74	81	152	157	1.991	4.90E-04	yes
SCLAV0039 		putative phage tail sheath protein 		46	48	77	74	1.606	4.90E-04	yes
SCLAV0042 		Peptidoglycan-binding LysM 		78	75	88	92	1.178	1.04E-02	no
SCLAV0043 		Rhs element Vgr protein 		68	75	89	106	1.361	2.21E-02	no
SCLAV0044 		Rhs element Vgr protein 		60	70	81	83	1.272	2.21E-02	no
SCLAV0045 		putative GPW/gp25 family protein 		62	62	84	70	1.235	1.09E-01	no
SCLAV0046 		Hypothetical protein		116	117	186	152	1.451	7.63E-03	no
SCLAV0047 		Hypothetical protein		53	59	65	58	1.089	1.90E-01	no
SCLAV0048 		Phage tail protein 		56	56	54	63	1.035	1.84E-01	no
SCLAV0049 		Hypothetical protein		92	87	97	108	1.152	1.56E-01	no
SCLAV0050 		Hypothetical protein		128	124	155	150	1.21	8.76E-04	no
SCLAV0051 		Hypothetical protein		46	56	84	98	1.784	2.19E-03	no
SCLAV0053 		Hypothetical protein		106	118	188	181	1.642	4.90E-04	yes
SCLAV0055 		ATPase central domain-containing protein 		181	182	190	235	1.169	1.81E-01	no
SCLAV0059 		Putative ABC transporter ATP-binding protein 		70	74	78	91	1.169	1.81E-01	no
SCLAV0060 		Hypothetical protein		53	57	56	57	1.017	1.84E-01	no
SCLAV0061 		Geranylgeranyl diphosphate synthase 		42	42	39	38	0.912	1.53E-02	no
SCLAV0063 		DUF574 domain containing protein		69	68	73	78	1.1	1.81E-01	no
SCLAV0064 		"Transcriptional regulator, AraC family "		11	14	15	13	1.141	1.84E-01	no
SCLAV0065 		Hypothetical protein		36	42	51	65	1.486	4.50E-02	no
SCLAV0066 		Hypothetical protein		23	24	11	16	0.578	4.42E-03	no
SCLAV0067 		Hypothetical protein		43	42	31	34	0.763	2.63E-03	no
SCLAV0069 		"Predicted membrane protein, COG2311 "		73	77	57	65	0.815	3.66E-03	no
SCLAV0070 		"Transcriptional regulator, XRE family "		54	57	45	48	0.833	4.42E-03	no
SCLAV0071 		DoxX family protein		73	72	49	51	0.689	4.90E-04	no
SCLAV0072 		Lipolytic protein G-D-S-L family 		44	49	32	29	0.654	1.28E-03	no
SCLAV0074 		ABC transporter 		58	62	44	50	0.784	3.66E-03	no
SCLAV0075 		Chitinase 		45	46	44	31	0.826	2.21E-02	no
SCLAV0077 		O-methyltransferase family protein 	2.1.1.-	32	32	27	22	0.774	7.63E-03	no
SCLAV0078 		Beta-lactamase domain-containing protein 		28	29	17	25	0.734	1.53E-02	no
SCLAV0079 		putative membrane protein		57	58	45	47	0.796	1.28E-03	no
SCLAV0080 		Conserved hypothetical protein		84	67	49	54	0.677	3.16E-03	no
SCLAV0081 		Rhodanese domain-containing protein 		31	39	18	26	0.629	5.85E-03	no
SCLAV0082 		Putative TetR-family transcriptional regulator 		42	45	16	21	0.429	6.56E-04	no
SCLAV0083 		methyltransferase 		48	45	25	26	0.55	5.79E-04	no
SCLAV0084 		Hypothetical protein		70	63	48	44	0.688	1.19E-03	no
SCLAV0085 		DNA-binding protein with HTH domain 		67	79	42	41	0.566	8.76E-04	no
SCLAV0086 		Putative acetyltranferase 		63	67	53	58	0.851	5.85E-03	no
SCLAV0087 		aminoglycoside phosphotransferase family protein 		51	41	21	23	0.472	1.19E-03	no
SCLAV0088 		Predicted nucleoside-diphosphate sugar epimerase 		46	48	34	32	0.698	1.03E-03	no
SCLAV0089 		"1,4-dihydroxy-2-naphtoate octaprenyl transferase homologue "		81	87	64	76	0.836	7.63E-03	no
SCLAV0090 		carbonic anhydrase (carbonate dehydratase) 	4.2.1.1	26	31	14	18	0.557	3.16E-03	no
SCLAV0091 		cytochrome P450 		108	103	92	98	0.902	5.85E-03	no
SCLAV0093 		Secreted serine protease 		86	88	58	64	0.708	6.56E-04	no
SCLAV0094 		putative oxidoreductase 		51	59	43	46	0.809	7.63E-03	no
SCLAV0095 		Hypothetical protein		75	71	47	62	0.749	4.42E-03	no
SCLAV0096 		Palmitoyl-CoA hydrolase 	3.1.2.2	55	46	44	50	0.923	6.92E-02	no
SCLAV0097 		Putative dehydrogenase 	1.1.1.69	62	62	59	58	0.946	1.53E-02	no
SCLAV0098 	"gde, yknA"	Cytosine/adenosine deaminase 	3.5.4.3	51	56	36	38	0.69	1.19E-03	no
SCLAV0099 		NADPH-dependent FMN reductase 		77	71	55	53	0.726	9.98E-04	no
SCLAV0101 		Putative phosphoesterase 		100	111	112	126	1.13	1.84E-01	no
SCLAV0102 	pptA	Phosphopantetheinyl transferase 		55	56	59	61	1.075	1.84E-01	no
SCLAV0103 		Hypothetical protein		230	215	181	190	0.834	1.03E-03	no
SCLAV0104 		Putative acetyltransferase 		81	89	96	101	1.161	6.92E-02	no
SCLAV0107 		Secreted protein 		73	67	53	51	0.738	1.19E-03	no
SCLAV0108 		Regulatory protein 		103	112	55	53	0.501	4.90E-04	no
SCLAV0110 	pteC	Cytochrome P450 hydroxylase 		143	137	59	65	0.443	4.90E-04	no
SCLAV0112 		Subtilisin-like serine protease 		109	117	119	121	1.062	1.88E-01	no
SCLAV0113 		Putative secreted protein 		46	50	47	43	0.947	4.50E-02	no
SCLAV0115 		DUF1470 domain containing protein		55	57	93	91	1.641	4.90E-04	yes
SCLAV0116 		Auxin Efflux Carrier 		20	25	18	22	0.893	6.92E-02	no
SCLAV0117 		Hypothetical protein		80	99	136	142	1.55	1.19E-03	no
SCLAV0118 		Hypothetical protein		33	37	26	38	0.922	6.92E-02	no
SCLAV0119 		beta-lactamase domain-containing protein 		67	74	78	80	1.114	1.81E-01	no
SCLAV0120 		Hypothetical protein		42	38	42	45	1.079	1.90E-01	no
SCLAV0121 		phytanoyl-CoA deoxygenase (PhyH) family protein		31	35	51	48	1.513	3.66E-03	no
SCLAV0123 		Putative Zn-dependent protease with chaperone function 		80	79	46	55	0.632	7.86E-04	no
SCLAV0124 		Hypothetical protein		65	76	44	53	0.685	2.63E-03	no
SCLAV0126 		secreted protein 		105	113	219	232	2.074	4.90E-04	yes
SCLAV0127 		MbtH domain protein 		83	86	129	150	1.654	1.03E-03	no
SCLAV0128 		Regulatory protein 		20	31	32	31	1.249	1.90E-01	no
SCLAV0129 		Regulatory protein 		169	167	160	172	0.988	1.09E-01	no
SCLAV0130 		DNA-binding protein 		348	338	459	478	1.365	4.90E-04	yes
SCLAV0131 		DUF574 domain containing protein		44	44	53	61	1.291	4.50E-02	no
SCLAV0132 		Putative iron-siderophore ABC transporter substrate-binding protein 		53	55	48	44	0.85	5.85E-03	no
SCLAV0133 		Putative FecCD-family membrane transport protein 		30	29	27	30	0.949	1.09E-01	no
SCLAV0134 		iron ABC transporter 		57	49	49	47	0.9	3.21E-02	no
SCLAV0137 		Regulatory protein 		39	49	48	49	1.103	1.90E-01	no
SCLAV0138 		DUF664 domain containing protein		233	217	445	469	2.033	4.90E-04	yes
SCLAV0139 		Chloramphenicol resistance protein 		89	81	108	117	1.324	3.66E-03	no
SCLAV0140 	ybeK	Inosine-uridine preferring nucleoside hydrolase 	3.2.-.-	66	61	73	61	1.059	1.88E-01	no
SCLAV0141 		Hemerythrin HHE cation binding domain-containing protein 		96	96	114	120	1.22	2.19E-03	no
SCLAV0142 	pkn	Serine/threonine protein kinase 		48	59	109	105	2.016	4.90E-04	yes
SCLAV0143 		Hypothetical protein		67	64	97	88	1.401	2.19E-03	no
SCLAV0144 		amino acid ABC transporter ATP-binding protein 	3.6.3.21	65	75	106	113	1.56	8.76E-04	no
SCLAV0145 		amino acid ABC transporter permease protein 		52	52	70	61	1.261	4.50E-02	no
SCLAV0146 		Glutamine-binding periplasmic protein 		45	59	94	98	1.836	8.76E-04	no
SCLAV0147 		bifunctional preprotein translocase subunit SecD/SecF 		83	81	29	26	0.336	4.90E-04	no
SCLAV0148 		acetyltransferase 		81	75	57	58	0.741	8.76E-04	no
SCLAV0149 		Glyoxalase/bleomycin resistance protein/dioxygenase 		36	37	25	26	0.7	1.19E-03	no
SCLAV0150 		Siderophore-interacting protein 		49	46	32	27	0.619	1.03E-03	no
SCLAV0151 		"Antibiotic binding protein, penicillin acylase"		37	42	35	33	0.857	2.21E-02	no
SCLAV0152 		"Acetyltranferase, penicillin amidase"		24	19	16	17	0.763	2.21E-02	no
SCLAV0153 	prpC	Putative magnesium or manganese-dependent protein phosphatase 		219	234	496	430	2.043	4.90E-04	yes
SCLAV0154 		Regulatory protein 		140	155	237	241	1.622	4.90E-04	yes
SCLAV0155 		Putative phosphotransferase 		272	286	470	477	1.695	4.90E-04	yes
SCLAV0157 		Hypothetical protein		83	77	93	84	1.105	1.84E-01	no
SCLAV0158 		Putative amidase 		119	119	161	160	1.352	4.90E-04	yes
SCLAV0159 	geoA	Germacradienol/germacrene D synthase 		85	80	103	91	1.178	1.09E-01	no
SCLAV0160 		Hypothetical protein		187	178	128	138	0.729	4.90E-04	no
SCLAV0161 		Acetyl-CoA acetyltransferase 	2.3.1.9	45	40	40	40	0.932	6.92E-02	no
SCLAV0162 		lipid-transfer protein 		62	76	60	54	0.828	1.53E-02	no
SCLAV0163 		DUF35 domain containing protein		57	61	53	58	0.949	4.50E-02	no
SCLAV0164 		enoyl-CoA hydratase 	4.2.1.17	61	60	56	62	0.971	1.09E-01	no
SCLAV0165 	fadD	FadD-like protein 	6.2.1.-	75	75	68	76	0.958	6.92E-02	no
SCLAV0166 		Alpha/beta hydrolase 		83	87	98	101	1.164	7.63E-03	no
SCLAV0167 	chaA	ionic transporter 		89	95	61	65	0.685	6.56E-04	no
SCLAV0168 	fadD	"Putative acyl-CoA synthetase, long-chain fatty acid:CoA ligase "	6.2.1.3	73	76	67	59	0.844	5.85E-03	no
SCLAV0169 		dioxygenase 		40	37	29	33	0.794	7.63E-03	no
SCLAV0170 		Beta-lactamase 		63	57	49	56	0.874	2.21E-02	no
SCLAV0171 		endoribonuclease L-PSP		96	92	85	94	0.957	4.50E-02	no
SCLAV0172 	pkn	Serine/threonine protein kinase 		139	145	168	187	1.247	5.85E-03	no
SCLAV0173 		Conserved hypothetical protein		46	44	52	64	1.28	1.56E-01	no
SCLAV0174 		Permease 		45	50	51	45	1.013	1.81E-01	no
SCLAV0177 		"Transcriptional regulator, LuxR family "		45	49	40	41	0.87	1.04E-02	no
SCLAV0178 		"Transcriptional regulator, LuxR family "		160	147	136	129	0.863	3.16E-03	no
SCLAV0179 		RNA polymerase sigma factor 		64	63	40	48	0.691	1.28E-03	no
SCLAV0180 		LacI-family transcriptional regulator 		109	118	133	141	1.208	7.63E-03	no
SCLAV0181 		"Membrane protein, putative "		59	61	48	52	0.826	3.66E-03	no
SCLAV0182 		Biotin carboxylase 		57	56	59	59	1.041	1.90E-01	no
SCLAV0183 		Arginase/agmatinase/formiminoglutamase 	3.5.3.11	52	50	45	42	0.845	5.85E-03	no
SCLAV0184 		Isochorismatase family protein 		51	54	30	36	0.636	1.03E-03	no
SCLAV0185 		Hypothetical protein		32	35	29	25	0.809	1.04E-02	no
SCLAV0186 		Hydrogenase expression/formation protein 		39	49	31	30	0.689	4.42E-03	no
SCLAV0187 	hypF	Hydrogenase maturation protein 		61	64	55	57	0.901	7.63E-03	no
SCLAV0188 		Hypothetical protein		66	65	54	57	0.846	2.63E-03	no
SCLAV0189 	fadE	Acyl-CoA dehydrogenase 	1.3.99.-	83	81	87	86	1.058	1.84E-01	no
SCLAV0190 	prpJ	magnesium or manganese-dependent protein phosphatase 		46	55	46	41	0.86	2.21E-02	no
SCLAV0191 		Calcineurin-like phosphoesterase 		73	65	68	53	0.878	3.21E-02	no
SCLAV0192 		Putative RNA polymerase sigma factor 		67	73	45	44	0.64	6.56E-04	no
SCLAV0193 		Hypothetical protein		106	111	67	69	0.628	4.90E-04	no
SCLAV0194 		Hydroxylase 		44	58	39	35	0.733	7.63E-03	no
SCLAV0195 		Hypothetical protein		77	93	76	75	0.889	2.21E-02	no
SCLAV0196 		Histidine kinase domain-containing protein 		85	76	77	74	0.941	3.21E-02	no
SCLAV0197 		Sugar transport protein 		57	63	54	44	0.822	1.04E-02	no
SCLAV0198 		Integral membrane protein 		71	64	48	51	0.73	1.28E-03	no
SCLAV0200 		PHP domain protein 		49	52	36	40	0.752	2.63E-03	no
SCLAV0201 		"DNA-binding domain-containing protein, AraC-type "		72	68	57	58	0.82	2.19E-03	no
SCLAV0202 	plcA	Putative non-hemolytic phospholipase C 	3.1.4.3	64	67	112	120	1.764	4.90E-04	yes
SCLAV0203 		Two-component sensor 		86	92	71	75	0.827	2.19E-03	no
SCLAV0204 		regulator protein 		64	69	221	213	3.266	4.90E-04	yes
SCLAV0205 		LuxR family two-component response regulator 		28	28	122	116	4.265	4.90E-04	yes
SCLAV0206 		Flavodoxin reductase family protein 	1.14.12.17	57	53	51	37	0.812	1.53E-02	no
SCLAV0207 		"Rrf2 family protein, putative transcriptional regulator "		33	26	15	19	0.573	4.42E-03	no
SCLAV0209 		Membrane protein 		27	34	37	36	1.214	1.88E-01	no
SCLAV0210 		Stress-inducible protein 		61	52	40	33	0.647	2.63E-03	no
SCLAV0211 		Antibiotic resistance macrolide glycosyltransferase 		157	172	213	213	1.297	7.86E-04	no
SCLAV0212 		FBP domain containing protein		594	548	730	703	1.255	6.56E-04	no
SCLAV0213 	pteF	LuxR family transcriptional regulator 		304	322	260	291	0.88	4.42E-03	no
SCLAV0214 		"Transcriptional regulator, MarR family "		143	137	125	124	0.889	1.63E-03	no
SCLAV0216 		Hypothetical protein		259	260	972	882	3.573	4.90E-04	yes
SCLAV0217 		APH domain containing protein		244	243	769	763	3.143	4.90E-04	yes
SCLAV0218 		Radical SAM domain protein 		397	355	1343	1243	3.443	4.90E-04	yes
SCLAV0219 		Radical SAM domain protein 		369	377	1200	1152	3.153	4.90E-04	yes
SCLAV0220 		Hypothetical protein		81	97	411	416	4.646	4.90E-04	yes
SCLAV0221 		Putative methyl transferase 		8	7	57	42	6.668	1.03E-03	no
SCLAV0222 		Ornithine/acetylornithine aminotransferase 	2.6.1.13	181	176	569	562	3.167	4.90E-04	yes
SCLAV0223 		Hypothetical protein		80	105	259	320	3.14	4.90E-04	yes
SCLAV0225 		ABC transporter related 		185	195	460	459	2.422	4.90E-04	yes
SCLAV0226 		ABC-2 type transporter 		160	151	462	435	2.881	4.90E-04	yes
SCLAV0227 		Hydrolase domain containing protein		111	109	345	372	3.267	4.90E-04	yes
SCLAV0228 		Acyl-coa dehydrogenase protein 		380	379	638	600	1.632	4.90E-04	yes
SCLAV0229 		"Streptomyces cyclase/dehydrase, putative "		937	849	1601	1409	1.685	4.90E-04	yes
SCLAV0230 		Fatty acid desaturase 		413	384	898	851	2.195	4.90E-04	yes
SCLAV0232 		Putative dihydroxyacetone kinase subunit 1 	2.7.1.-	61	56	86	94	1.535	1.03E-03	no
SCLAV0233 	dak	dihydroxyacetone kinase subunit 2 	2.7.1.-	78	73	93	111	1.345	2.21E-02	no
SCLAV0234 		Dihydroxyacetone kinase phosphotransfer protein 		49	53	77	84	1.564	9.98E-04	no
SCLAV0235 		Lipoprotein 		129	132	165	180	1.325	1.19E-03	no
SCLAV0236 		Secreted protein 		55	64	54	55	0.919	3.21E-02	no
SCLAV0238 		Glucosamine-6-phosphate deaminase 	3.5.99.6	53	63	55	59	0.985	1.56E-01	no
SCLAV0239 	gabD	Putative aldehyde dehydrogenase 	1.2.1.16	39	41	37	39	0.952	6.92E-02	no
SCLAV0240 		Hypothetical protein		37	36	31	38	0.953	6.92E-02	no
SCLAV0241 	whiB	Transcription factor WhiB 		55	51	47	57	0.991	1.56E-01	no
SCLAV0243 		Carbon-nitrogen hydrolase 		31	21	21	23	0.855	4.50E-02	no
SCLAV0244 	mutA	Methylmalonyl-CoA mutase small subunit 	5.4.99.2	33	38	52	50	1.45	5.85E-03	no
SCLAV0245 		Methylmalonyl-CoA mutase large subunit 	5.4.99.2	74	70	103	91	1.344	5.85E-03	no
SCLAV0246 		Putative lysine arginine ornithine transport system kinase 	2.7.-.-	86	88	95	106	1.152	1.09E-01	no
SCLAV0247 		Hypothetical protein		72	76	59	75	0.905	4.50E-02	no
SCLAV0249 	bglA	Putative 6-phospho-beta-glucosidase 	3.2.1.86	51	56	63	77	1.312	1.09E-01	no
SCLAV0250 	ama	alpha-mannosidase 	3.2.1.24	58	57	58	51	0.958	6.92E-02	no
SCLAV0251 	pkn	Serine/threonine protein kinase 	2.7.11.1	48	54	40	46	0.837	1.53E-02	no
SCLAV0252 		Putative membrane protein 		98	89	77	86	0.868	1.04E-02	no
SCLAV0253 		Hypothetical protein		72	76	62	77	0.941	6.92E-02	no
SCLAV0254 		Putative acetyltransferase 		56	58	54	48	0.894	2.21E-02	no
SCLAV0255 		Putative amino acid permease 		140	147	91	96	0.652	4.90E-04	no
SCLAV0256 		Hypothetical protein		55	55	28	30	0.528	4.90E-04	no
SCLAV0258 	prpJ	magnesium or manganese-dependent protein phosphatase		89	95	59	65	0.669	7.86E-04	no
SCLAV0259 		DUF1348 domain containing protein		87	111	75	70	0.729	4.42E-03	no
SCLAV0260 		Transcriptional regulator 		59	63	45	61	0.867	3.21E-02	no
SCLAV0262 		Hypothetical protein		114	128	100	104	0.843	3.66E-03	no
SCLAV0263 		putative regulator protein 		141	149	157	157	1.082	6.92E-02	no
SCLAV0264 		Putative MutT-family protein 		67	81	74	69	0.972	1.09E-01	no
SCLAV0265 		Putative polyprenol-phosphate-mannosyl transferase 	2.3.1.-	103	83	89	92	0.972	1.09E-01	no
SCLAV0266 		lipoprotein 		122	126	122	131	1.02	1.84E-01	no
SCLAV0267 		glutamate racemase 	5.1.1.3	103	111	79	87	0.775	1.28E-03	no
SCLAV0268 		integral membrane protein 		85	80	45	49	0.574	4.90E-04	no
SCLAV0269 		PAT1 domain containing protein		152	170	445	454	2.791	4.90E-04	yes
SCLAV0270 	spoVK	sporulation protein K-like protein 		149	159	120	134	0.822	2.19E-03	no
SCLAV0271 		putative integral membrane protein 		79	82	49	54	0.637	4.90E-04	no
SCLAV0272 		DeoR-family transcriptional regulator 		63	61	74	87	1.298	3.21E-02	no
SCLAV0273 		Hypothetical protein		75	78	95	104	1.299	3.66E-03	no
SCLAV0274 	cysK	Cysteine synthase/cystathionine beta-synthase family protein 	2.5.1.47	79	90	57	62	0.703	1.28E-03	no
SCLAV0275 		Hypothetical protein		199	209	683	642	3.249	4.90E-04	yes
SCLAV0276 		Putative regulatory protein 		76	56	104	109	1.616	3.66E-03	no
SCLAV0277 		integral membrane protein 		64	62	47	46	0.745	7.86E-04	no
SCLAV0278 		Putative ROK-family transcriptional regulator 		48	59	43	47	0.842	2.21E-02	no
SCLAV0279 		TetR family transcriptional regulator 		104	120	68	74	0.637	8.76E-04	no
SCLAV0280 		DUF385 domain containing protein		36	44	28	25	0.65	3.66E-03	no
SCLAV0281 		Hydrogenase 		65	66	72	76	1.125	6.92E-02	no
SCLAV0282 		Putative M20/M25/M40-family peptidase 		54	59	53	60	0.997	1.56E-01	no
SCLAV0283 		Putative metallo-beta-lactamase-like protein 		97	105	72	79	0.749	1.03E-03	no
SCLAV0284 		ATP/GTP-binding protein 		83	107	106	121	1.196	1.84E-01	no
SCLAV0285 		Transport systems inner membrane protein 		60	72	30	33	0.481	7.86E-04	no
SCLAV0286 		ABC transporter permease protein 		78	74	52	52	0.686	4.90E-04	no
SCLAV0287 		Extracellular solute-binding protein family 1 		48	50	23	16	0.407	5.79E-04	no
SCLAV0288 	agaB	Alpha-galactosidase 	3.2.1.22	72	65	29	29	0.418	4.90E-04	no
SCLAV0289 		Putative ROK-family transcriptional regulator 	2.7.1.2	74	70	50	52	0.704	7.86E-04	no
SCLAV0290 		LacI-family transcriptional regulator 		47	45	35	38	0.794	3.16E-03	no
SCLAV0291 		HpcH_HpaI domain containing protein		57	54	50	65	1.036	1.81E-01	no
SCLAV0292 		Electron transfer flavoprotein 		195	193	255	249	1.296	4.90E-04	yes
SCLAV0293 		Electron transfer flavoprotein 		458	436	557	565	1.255	4.90E-04	yes
SCLAV0294 		Putative acyltransferase 		64	70	105	107	1.581	4.90E-04	yes
SCLAV0295 		L-threonine aldolase 	4.1.2.5	25	22	73	74	3.16	4.90E-04	yes
SCLAV0296 		Oxidoreductase 		72	82	141	133	1.776	4.90E-04	yes
SCLAV0297 		Hypothetical protein		61	60	31	26	0.468	4.90E-04	no
SCLAV0298 	glpQ	Glycerophosphoryl diester phosphodiesterase 	3.1.4.46	33	48	25	24	0.601	5.85E-03	no
SCLAV0299 		Acetyltransferase 		87	81	104	130	1.396	3.21E-02	no
SCLAV0300 		Putative lactoylglutathione lyase 		56	53	68	72	1.279	4.42E-03	no
SCLAV0301 		integral membrane protein 		56	56	40	37	0.692	7.86E-04	no
SCLAV0302 		Integral membrane protein 		147	122	101	90	0.709	2.19E-03	no
SCLAV0303 		Putative integral membrane protein 		80	98	40	54	0.529	1.19E-03	no
SCLAV0304 		TetR-family transcriptional regulatory protein 		43	47	27	32	0.659	1.63E-03	no
SCLAV0305 		Putative secreted protein 		60	68	85	85	1.333	3.66E-03	no
SCLAV0306 		Lipoprotein 		61	59	31	34	0.545	4.90E-04	no
SCLAV0307 		Hypothetical protein		36	35	11	8	0.267	4.90E-04	no
SCLAV0308 	fprB	Putative NADPH-ferredoxin reductase 	1.18.1.2	76	77	33	35	0.445	4.90E-04	no
SCLAV0309 		Uracil-DNA glycosylase 	3.2.2.-	62	72	39	40	0.589	8.76E-04	no
SCLAV0310 		BadF/BadG/BcrA/BcrD ATPase family protein		76	77	29	27	0.368	4.90E-04	no
SCLAV0311 		Hypothetical protein		49	55	41	47	0.85	1.53E-02	no
SCLAV0312 		putative secreted protein 		43	46	28	24	0.575	9.98E-04	no
SCLAV0313 		Putative integral membrane protein 		61	65	27	25	0.411	4.90E-04	no
SCLAV0314 		Hemolysin-type calcium-binding region 		24	22	18	14	0.683	7.63E-03	no
SCLAV0315 		UDP-N-acetylglucosamine 2-epimerase 	5.1.3.14	46	54	16	18	0.345	4.90E-04	no
SCLAV0316 		Putative N-acetyl-glucosamine transferase  		60	66	33	39	0.571	8.76E-04	no
SCLAV0317 		Conserved hypothetical protein		74	71	82	95	1.217	6.92E-02	no
SCLAV0318 		"Lipoprotein, putative "		39	33	41	38	1.095	1.90E-01	no
SCLAV0319 		YheO domain protein 		87	94	61	69	0.717	1.03E-03	no
SCLAV0320 		Aminotransferase 	2.6.1.-	88	96	68	82	0.818	5.85E-03	no
SCLAV0321 		ArsR family transcriptional regulator 		56	66	54	61	0.942	6.92E-02	no
SCLAV0322 		putative hydrolase 		76	73	66	61	0.852	3.66E-03	no
SCLAV0324 		lipoprotein 		139	140	72	80	0.546	4.90E-04	no
SCLAV0325 		"Glycosyl hydrolase, BNR repeat-containing protein "		53	49	46	42	0.865	1.04E-02	no
SCLAV0326 		Conserved hypothetical protein		52	50	50	58	1.055	1.88E-01	no
SCLAV0328 		Hypothetical protein		64	75	57	60	0.841	1.04E-02	no
SCLAV0330 		Putative endochitinase 		53	53	50	49	0.935	1.53E-02	no
SCLAV0331 		Integral membrane protein 		35	40	38	43	1.082	1.88E-01	no
SCLAV0333 		NADH ubiquinone oxidoreductase 		56	57	45	46	0.815	1.19E-03	no
SCLAV0334 	hydB	Hydrogen:quinone oxidoreductase 	1.12.99.6	66	68	48	46	0.705	5.79E-04	no
SCLAV0335 		Thioredoxin-like protein 		61	59	41	45	0.721	9.98E-04	no
SCLAV0336 		Hypothetical protein		49	54	52	42	0.92	4.50E-02	no
SCLAV0337 		Hypothetical protein		68	62	45	50	0.731	1.63E-03	no
SCLAV0338 		Hypothetical protein		65	62	64	61	0.977	1.09E-01	no
SCLAV0339 	hupD	Putative [NiFe] hydrogenase-specific C-terminal protease 		137	140	150	166	1.139	6.92E-02	no
SCLAV0341 	hypA	Probable hydrogenase nickel incorporation protein hypA 		85	81	76	81	0.942	3.21E-02	no
SCLAV0342 	hypB	Hydrogenase accessory protein 		49	49	42	38	0.825	4.42E-03	no
SCLAV0343 	hypF	Putative [NiFe] hydrogenase maturation protein 		104	98	100	107	1.029	1.84E-01	no
SCLAV0344 	hypC	[NiFe] hydrogenase expression/formation protein 		77	79	74	85	1.019	1.81E-01	no
SCLAV0345 	hypD	Hydrogenase accessory protein 		57	61	52	51	0.872	5.85E-03	no
SCLAV0346 	hypE	Hydrogenase accessory protein 		65	62	67	63	1.019	1.84E-01	no
SCLAV0347 		Putative ATP/GTP-binding protein 		186	183	139	152	0.787	7.86E-04	no
SCLAV0348 		Hypothetical protein		64	59	75	83	1.289	1.53E-02	no
SCLAV0349 		ATPase associated with various cellular activities 		86	84	96	112	1.225	6.92E-02	no
SCLAV0351 		Short-chain dehydrogenase/reductase SDR 		20	24	38	39	1.77	2.63E-03	no
SCLAV0352 		Hypothetical protein		220	226	542	537	2.419	4.90E-04	yes
SCLAV0353 		FAD/FMN-dependent dehydrogenase 		97	103	99	108	1.033	1.88E-01	no
SCLAV0355 		putative sugar transferase 		100	98	65	69	0.675	4.90E-04	no
SCLAV0356 		Putative lipoprotein 		60	61	35	35	0.58	4.90E-04	no
SCLAV0357 		putative transcriptional regulator 		42	35	29	26	0.72	5.85E-03	no
